text,actual,predicted
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 8 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 373)	0.23755503729333635
  (0, 4683)	0.3214003131476027
  (0, 2820)	0.22990037674597102
  (0, 3113)	0.23644315106699018
  (0, 623)	0.6531929393856342
  (0, 1993)	0.3265964696928171
  (0, 2050)	0.2877403474417987
  (0, 2857)	0.339689738475825",1,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 10 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 1917)	0.2924479810861383
  (0, 1663)	0.18870981623135485
  (0, 284)	0.34504245610698997
  (0, 1901)	0.25495025340706917
  (0, 4932)	0.48125090828426936
  (0, 2193)	0.31846436253204863
  (0, 3943)	0.29848590276807674
  (0, 4847)	0.2635243862387931
  (0, 4507)	0.32379018690021
  (0, 3796)	0.31370025029291826",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 8 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 3470)	0.3557986928308451
  (0, 1405)	0.24944595939269618
  (0, 2072)	0.29625053816833957
  (0, 2469)	0.36299556292087715
  (0, 1111)	0.3457451876796045
  (0, 1850)	0.4120140620463214
  (0, 2709)	0.3714318157508824
  (0, 3851)	0.40545890985121047",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 5 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 1117)	0.31973242153149545
  (0, 160)	0.4254990878393958
  (0, 1273)	0.38543979570509485
  (0, 3631)	0.5001784646920292
  (0, 1245)	0.5638965970943499",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 9 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 2489)	0.26407523787417214
  (0, 2686)	0.24563537894895388
  (0, 1494)	0.3835094926204389
  (0, 4377)	0.23555922890069447
  (0, 2862)	0.3153584732841188
  (0, 2270)	0.3408016518798998
  (0, 1720)	0.39552128098156625
  (0, 3709)	0.41803373472507477
  (0, 2030)	0.3472374237123283",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 5 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 3927)	0.427445342992459
  (0, 4822)	0.4302478163003888
  (0, 2887)	0.521206191137536
  (0, 4899)	0.4362057582814713
  (0, 4478)	0.4126086985083992",1,1
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 16 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 3920)	0.19881363996605492
  (0, 4987)	0.2661888941209593
  (0, 1663)	0.14290352156090377
  (0, 2714)	0.298907020828994
  (0, 4091)	0.23991694161372634
  (0, 1715)	0.19275527053655547
  (0, 2313)	0.17108712284627753
  (0, 2488)	0.23037338202093982
  (0, 3514)	0.28738571323105877
  (0, 3371)	0.2719090733375958
  (0, 759)	0.238715362863506
  (0, 2905)	0.2661888941209593
  (0, 4860)	0.24665259335857007
  (0, 1532)	0.298907020828994
  (0, 2321)	0.28738571323105877
  (0, 531)	0.2926640607599815",1,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 4 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 3262)	0.4424351364634993
  (0, 4789)	0.39312635233191995
  (0, 1489)	0.47616487527542656
  (0, 1466)	0.6503613093340203",1,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 12 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 990)	0.2688029183631727
  (0, 1405)	0.18337712443778884
  (0, 2987)	0.17094020245039226
  (0, 373)	0.2203096301898061
  (0, 3638)	0.2555323054130474
  (0, 1771)	0.22983028671766506
  (0, 3918)	0.19886561927842192
  (0, 4125)	0.21497142373793174
  (0, 985)	0.24803892505874298
  (0, 996)	0.23998602282898807
  (0, 3708)	0.27538261857225926
  (0, 1067)	0.6461654446638241",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 8 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 4623)	0.3075912408785411
  (0, 1972)	0.2852359063498593
  (0, 2759)	0.4057495082807745
  (0, 2163)	0.3716980264561471
  (0, 3785)	0.3424825021946848
  (0, 2673)	0.4057495082807745
  (0, 843)	0.28167080546310425
  (0, 1657)	0.39996331018261183",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 4 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 2062)	0.3972074131211324
  (0, 3091)	0.42859168300155553
  (0, 1101)	0.6227174264719685
  (0, 4875)	0.5203445464225034",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 3 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 4240)	0.5500127778326332
  (0, 2686)	0.5370638775231711
  (0, 3312)	0.6395688670351356",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 14 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 4835)	0.1918992066274552
  (0, 1109)	0.18438563052795193
  (0, 373)	0.47115478105026853
  (0, 2313)	0.19281152846752614
  (0, 3877)	0.17403347983240802
  (0, 2488)	0.2596258746229606
  (0, 4264)	0.2464929003711188
  (0, 2317)	0.2703812621792727
  (0, 2395)	0.2796875652201941
  (0, 99)	0.2640409033100263
  (0, 800)	0.24033286620590827
  (0, 4593)	0.2853449077378747
  (0, 4536)	0.2703812621792727
  (0, 3767)	0.2796875652201941",1,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 10 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 1868)	0.22570747097965196
  (0, 3825)	0.19523238363610015
  (0, 2512)	0.26826335120029937
  (0, 2688)	0.3360721433999291
  (0, 83)	0.307916860385445
  (0, 78)	0.3557878424502588
  (0, 4462)	0.3523961330262495
  (0, 4294)	0.3523961330262495
  (0, 3450)	0.3523961330262495
  (0, 244)	0.36343342897495845",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 7 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 2628)	0.32384513835164086
  (0, 602)	0.3148292299152706
  (0, 3224)	0.2508475350318373
  (0, 4417)	0.3278582126040239
  (0, 4488)	0.2855218153926312
  (0, 2538)	0.5357936104920344
  (0, 288)	0.5069456468343685",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 11 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 860)	0.24503789288482253
  (0, 1757)	0.30173988633336685
  (0, 2033)	0.2637650429609189
  (0, 3031)	0.2964427305405787
  (0, 126)	0.2999121834624081
  (0, 1687)	0.2794878263214363
  (0, 1721)	0.3345745982084476
  (0, 1035)	0.3289793377061368
  (0, 2219)	0.3193534316269848
  (0, 548)	0.34086229508591287
  (0, 843)	0.29164556212878207",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 7 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 3318)	0.3088358087537375
  (0, 2965)	0.2658545813012965
  (0, 4352)	0.4389368265351481
  (0, 3943)	0.3797111126691989
  (0, 3685)	0.3160620731656152
  (0, 2475)	0.4051261929662705
  (0, 3319)	0.4827766064529419",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 8 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 4709)	0.22659349896598627
  (0, 2670)	0.3250771585478718
  (0, 4839)	0.5179731588987379
  (0, 1966)	0.285407512910357
  (0, 4470)	0.3029079322318054
  (0, 3620)	0.3864481450445619
  (0, 2832)	0.3656411741783356
  (0, 4033)	0.3441478359364444",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 5 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 2939)	0.3881199495532792
  (0, 2214)	0.46525221187220445
  (0, 3185)	0.4222859057763574
  (0, 4716)	0.5411107182072896
  (0, 4077)	0.4022152266270062",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 7 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 4230)	0.2794039275985449
  (0, 3664)	0.31462459340432597
  (0, 4843)	0.4151844570852205
  (0, 3102)	0.3977098375807474
  (0, 192)	0.4002625461632677
  (0, 1147)	0.35605520353158376
  (0, 3335)	0.4532197572160732",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 6 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 1268)	0.4953681316791694
  (0, 2864)	0.38658812908367524
  (0, 397)	0.3849431673537283
  (0, 4021)	0.34809467788158666
  (0, 847)	0.4196105509707736
  (0, 2475)	0.39966970265516816",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 6 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 4743)	0.32563542689282654
  (0, 660)	0.5997344434911035
  (0, 3344)	0.3754261595556703
  (0, 417)	0.3851377305590049
  (0, 1623)	0.40196787628488656
  (0, 1155)	0.2888358005838281",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 8 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 141)	0.1886804019922483
  (0, 2353)	0.39328479989501375
  (0, 2565)	0.3745289477209031
  (0, 517)	0.35770721449974285
  (0, 33)	0.30266289207282354
  (0, 4903)	0.39328479989501375
  (0, 1397)	0.3542972077887223
  (0, 2997)	0.41194188495012113",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 4 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 567)	0.4913067529513957
  (0, 4663)	0.4001530216963818
  (0, 3264)	0.5538947109395241
  (0, 121)	0.5400887731890306",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 9 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 4090)	0.31216891957531234
  (0, 2433)	0.2357352894969013
  (0, 312)	0.3070429340633557
  (0, 574)	0.3740481786373956
  (0, 3685)	0.2616858009844854
  (0, 2418)	0.3258699790875148
  (0, 2949)	0.40705979695142513
  (0, 3873)	0.34306349166809225
  (0, 3246)	0.3933587374392226",1,1
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 10 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 4633)	0.2388389225907029
  (0, 3486)	0.3008313265555522
  (0, 3734)	0.26944968865702507
  (0, 3913)	0.31927749255190185
  (0, 2676)	0.30914878299014337
  (0, 4020)	0.33040227783243487
  (0, 3431)	0.3048049781051218
  (0, 3757)	0.33819739063913135
  (0, 4566)	0.366481026891038
  (0, 646)	0.36274605724377257",1,1
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 4 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 3224)	0.3626717563139097
  (0, 2433)	0.43923920377011266
  (0, 312)	0.5721048137046123
  (0, 3172)	0.5901137188539107",1,1
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 9 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 4945)	0.19693565214737213
  (0, 4597)	0.26908249223016356
  (0, 2987)	0.1976987012004459
  (0, 1117)	0.21186564469704894
  (0, 4678)	0.6217611431074653
  (0, 2303)	0.30648307431428906
  (0, 3113)	0.25360369579122644
  (0, 2060)	0.3567340345561988
  (0, 3143)	0.3643437025393767",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 8 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 4377)	0.2611679629504577
  (0, 2314)	0.33178348852638334
  (0, 4208)	0.30795812828989205
  (0, 3188)	0.3098791152287822
  (0, 1485)	0.3977879467735411
  (0, 3205)	0.4561061386933179
  (0, 2105)	0.3289509288830709
  (0, 787)	0.39543768544451097",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 5 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 73)	0.4728727938043793
  (0, 4459)	0.33003740710134793
  (0, 397)	0.47484476191498454
  (0, 2985)	0.38192267484337483
  (0, 3624)	0.5441729075540637",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 8 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 1868)	0.20697324093405983
  (0, 4709)	0.21481359938316272
  (0, 2033)	0.21762817499647882
  (0, 2422)	0.23160405898407643
  (0, 3857)	0.6665352664866546
  (0, 2866)	0.3466326133201397
  (0, 4908)	0.37572286208545946
  (0, 4882)	0.32314645779557877",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 9 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 2599)	0.3418485591312164
  (0, 860)	0.2578141250092481
  (0, 4830)	0.29199369410930276
  (0, 1405)	0.2719409574513176
  (0, 1901)	0.30175112694116424
  (0, 3710)	0.39037420881722634
  (0, 3918)	0.294909777195628
  (0, 4982)	0.3769244352591831
  (0, 3294)	0.43008099902869856",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 5 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 1749)	0.5238201709831554
  (0, 3224)	0.2829426421079902
  (0, 4459)	0.32641203533786833
  (0, 501)	0.41686477012857953
  (0, 257)	0.6043466193835823",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 9 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 4857)	0.3299652228314652
  (0, 1156)	0.3145208934614658
  (0, 1590)	0.2848475603928486
  (0, 4125)	0.2933093745445074
  (0, 3035)	0.36156976270497077
  (0, 2339)	0.3184621533038533
  (0, 3174)	0.36675765778504593
  (0, 358)	0.3640954169116969
  (0, 1191)	0.3546879598901041",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 4 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 2632)	0.4490019813846405
  (0, 3789)	0.4924279697263698
  (0, 108)	0.6178108636409866
  (0, 4017)	0.4173986728668537",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 12 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 141)	0.1812338099483181
  (0, 1715)	0.24880348362852958
  (0, 2072)	0.266724235181761
  (0, 2431)	0.27904281337831127
  (0, 2584)	0.2711163009324874
  (0, 4243)	0.26554555168776206
  (0, 3593)	0.25710129011629546
  (0, 3880)	0.27983919549360764
  (0, 1297)	0.36504817272683787
  (0, 4979)	0.2717809452107467
  (0, 3523)	0.3344124455970846
  (0, 4457)	0.3858213985862206",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 5 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 2965)	0.31016009406817946
  (0, 386)	0.40682011398773643
  (0, 334)	0.47264176342139674
  (0, 2651)	0.48054596658254983
  (0, 3101)	0.5329009742661188",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 11 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 3338)	0.25470949501985457
  (0, 691)	0.2402669193439742
  (0, 21)	0.27809789521928513
  (0, 4551)	0.3115286428304259
  (0, 3825)	0.19830846778718414
  (0, 3225)	0.33289149235300436
  (0, 1480)	0.3579484913979315
  (0, 2002)	0.2674865520715857
  (0, 704)	0.37359049371186404
  (0, 1609)	0.27809789521928513
  (0, 2885)	0.369159691135071",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 9 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 2679)	0.28435659662634605
  (0, 1663)	0.2554815991147614
  (0, 1328)	0.4358588948068964
  (0, 4974)	0.2755415092500372
  (0, 3877)	0.2760792866795082
  (0, 4459)	0.2886242896631385
  (0, 81)	0.3624011262383617
  (0, 3664)	0.35099466229292753
  (0, 1198)	0.4170357257991115",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 13 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 3338)	0.20097855186242994
  (0, 3470)	0.2658597767232927
  (0, 3224)	0.14991447752537337
  (0, 4013)	0.20616215140830338
  (0, 3469)	0.24127735436953304
  (0, 468)	0.5089656259122884
  (0, 3355)	0.27322068903858837
  (0, 1112)	0.2048749473770228
  (0, 406)	0.24989163476607795
  (0, 1506)	0.2753173483011094
  (0, 2087)	0.2851576873607182
  (0, 2457)	0.2851576873607182
  (0, 695)	0.2986464025736197",1,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 7 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 3689)	0.7542194691246582
  (0, 4145)	0.2256102064091771
  (0, 1719)	0.22509687178798848
  (0, 4436)	0.2990779414454647
  (0, 2947)	0.24148359205264858
  (0, 3494)	0.3073824897831
  (0, 69)	0.29553086159219477",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 10 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 4633)	0.264989754368405
  (0, 3486)	0.3337697996020867
  (0, 4924)	0.27832145026081057
  (0, 4835)	0.2574508041123185
  (0, 2534)	0.26727836237349406
  (0, 122)	0.2748220559825108
  (0, 4446)	0.3097019042577581
  (0, 4267)	0.3405321795856939
  (0, 1817)	0.427599050169734
  (0, 2771)	0.3646246518711541",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 9 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 4633)	0.175837617139703
  (0, 141)	0.14086674533941676
  (0, 3957)	0.2432482469833707
  (0, 2219)	0.4313695477751658
  (0, 1927)	0.2670603335532302
  (0, 830)	0.2432482469833707
  (0, 2921)	0.2837392647585739
  (0, 961)	0.2998855716637056
  (0, 2204)	0.6348685203819986",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 6 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 4533)	0.41856960144805905
  (0, 4762)	0.47394894917032104
  (0, 83)	0.38606806496283347
  (0, 4213)	0.39092023125613545
  (0, 3674)	0.43417400502594844
  (0, 1155)	0.33135726594446663",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 8 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 4503)	0.2503157871285671
  (0, 4835)	0.24817155244687564
  (0, 632)	0.25995307066291723
  (0, 2965)	0.23065219825153763
  (0, 3049)	0.3282584412866328
  (0, 4511)	0.3617028880975672
  (0, 1748)	0.30687626696163056
  (0, 130)	0.6497855223122553",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 5 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 2335)	0.34901765984144234
  (0, 4023)	0.46123231716479884
  (0, 4127)	0.4831127726866117
  (0, 1350)	0.4457078869121594
  (0, 4717)	0.4831127726866117",1,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 5 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 4835)	0.5950053137523755
  (0, 4145)	0.36267109756289884
  (0, 2752)	0.3367748146263647
  (0, 2504)	0.37357856439433246
  (0, 408)	0.5113317240866311",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 1 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 4021)	1.0",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 9 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 2679)	0.27350506637396693
  (0, 168)	0.3283556551918271
  (0, 4974)	0.26502637769027243
  (0, 1127)	0.46244223286504776
  (0, 1833)	0.23669087566818608
  (0, 116)	0.366704512211474
  (0, 988)	0.30266474435746915
  (0, 1189)	0.332525926754389
  (0, 1277)	0.37498204413120223",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 7 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 1329)	0.28450878601254415
  (0, 2212)	0.33555382545656154
  (0, 3429)	0.33814206772186534
  (0, 436)	0.3850461374244875
  (0, 3365)	0.38178954550262006
  (0, 3363)	0.45174148952268905
  (0, 4440)	0.4404817414866648",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 6 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 3722)	0.35934422124976023
  (0, 2122)	0.4124753246613218
  (0, 4855)	0.3619401011051867
  (0, 1273)	0.4182548182371981
  (0, 2193)	0.4813876775379828
  (0, 678)	0.40381185142076154",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 12 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 4857)	0.2976768457779133
  (0, 2206)	0.29116454508370054
  (0, 3338)	0.24338410227167157
  (0, 943)	0.268071058840798
  (0, 1405)	0.22571855184263462
  (0, 3762)	0.28460637841803765
  (0, 4932)	0.2363892116298641
  (0, 3918)	0.24478331052705743
  (0, 3835)	0.29539833663282095
  (0, 749)	0.2781336864552972
  (0, 1474)	0.37967066280162254
  (0, 4479)	0.3728231062564171",1,1
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 5 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 1860)	0.3006874326460684
  (0, 4835)	0.3546384188177151
  (0, 1585)	0.4008132435961811
  (0, 1614)	0.6384493684758057
  (0, 807)	0.46427341879321526",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 5 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 4932)	0.3480247649420386
  (0, 1399)	0.4317102964843075
  (0, 499)	0.3361732987513219
  (0, 1740)	0.5035587015725106
  (0, 792)	0.5708950255289774",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 2 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 187)	0.6152306458009488
  (0, 779)	0.7883471649389929",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 10 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 3706)	0.3241948955519273
  (0, 4974)	0.2202529522744906
  (0, 1916)	0.3125648525262762
  (0, 3046)	0.2648055265187752
  (0, 2260)	0.3125648525262762
  (0, 4993)	0.3702402555942838
  (0, 2961)	0.32664206726307
  (0, 1234)	0.2724669573118335
  (0, 1770)	0.35465728402263613
  (0, 3007)	0.3702402555942838",1,1
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 9 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 4709)	0.23227584266325146
  (0, 4602)	0.23377202129120303
  (0, 1775)	0.32495545483819704
  (0, 2494)	0.32688680904968326
  (0, 925)	0.38087010351437706
  (0, 4124)	0.35641045612606176
  (0, 3430)	0.3878654574139264
  (0, 1618)	0.36946546120038987
  (0, 1148)	0.3462842074867799",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 10 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 2122)	0.2831806882216607
  (0, 1863)	0.2695229561836796
  (0, 3877)	0.21162573474171284
  (0, 3031)	0.273476869209174
  (0, 2985)	0.256023487220811
  (0, 4786)	0.3341031482897798
  (0, 1358)	0.3938370082588034
  (0, 2958)	0.33801582672800756
  (0, 69)	0.37262762563149204
  (0, 4923)	0.3771000517481023",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 8 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 2686)	0.25886605521665984
  (0, 1542)	0.37373137750431124
  (0, 4755)	0.29941216571086626
  (0, 1156)	0.3352888285083614
  (0, 4605)	0.38288331969819916
  (0, 4470)	0.35915827602262723
  (0, 2439)	0.393975095097316
  (0, 3708)	0.40054500387786185",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 4 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 4240)	0.4311131395159361
  (0, 3664)	0.4894219895924909
  (0, 1333)	0.5468983883057571
  (0, 4979)	0.5248902074801988",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 10 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 4974)	0.22292191060303573
  (0, 402)	0.35675338657122774
  (0, 2805)	0.31180553990341453
  (0, 3046)	0.2680143594000084
  (0, 789)	0.2834731272647379
  (0, 1234)	0.27576862908268224
  (0, 2361)	0.35895491319035666
  (0, 3729)	0.33320746030981013
  (0, 1770)	0.35895491319035666
  (0, 3541)	0.35895491319035666",1,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 9 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 4013)	0.250682709135611
  (0, 2621)	0.2557374975458837
  (0, 2513)	0.23978417883704864
  (0, 4791)	0.584711227708778
  (0, 2012)	0.24403528958584803
  (0, 3327)	0.268568953251323
  (0, 1125)	0.3403545570884004
  (0, 843)	0.2557374975458837
  (0, 4318)	0.3993087052200385",0,0
